record_dt,covid_cases,new_covid_cases,covid_growth_rate,num_flight_change_percent,us_gas_price,deaths
2020-01-22,580,580,0,,,17
2020-01-23,845,265,-0.543103448,,,25
2020-01-24,1317,472,0.781132075,,,41
2020-01-25,2015,698,0.478813559,,,56
2020-01-26,2800,785,0.124641834,,,80
2020-01-27,4581,1781,1.268789809,,2.595,106
2020-01-28,6058,1477,-0.170690623,,,132
2020-01-29,7813,1755,0.188219364,,,170
2020-01-30,9823,2010,0.145299145,,,213
2020-01-31,11950,2127,0.058208955,,,259
2020-02-01,14553,2603,0.223789375,,,304
2020-02-02,17391,2838,0.090280446,,,362
2020-02-03,20630,3239,0.141296688,-0.036,,426
2020-02-04,24545,3915,0.208706391,,,492
2020-02-05,28266,3721,-0.049553001,,,565
2020-02-06,31439,3173,-0.147272239,,,638
2020-02-07,34876,3437,0.083202017,,,724
2020-02-08,37552,2676,-0.221414024,,,813
2020-02-09,40553,3001,0.121449925,,,910
2020-02-10,43099,2546,-0.151616128,,2.511,1018
2020-02-11,45134,2035,-0.200706991,,,1115
2020-02-12,59287,14153,5.954791155,,,1261
2020-02-13,64438,5151,-0.636048894,,,1383
2020-02-14,67100,2662,-0.483207144,,,1526
2020-02-15,69197,2097,-0.212246431,,,1669
2020-02-16,71329,2132,0.01669051,,,1775
2020-02-17,73332,2003,-0.060506567,-0.107,2.518,1873
2020-02-18,75184,1852,-0.07538692,,,2009
2020-02-19,75700,516,-0.721382289,,,2126
2020-02-20,76677,977,0.893410853,,,2247
2020-02-21,77673,996,0.019447288,,,2360
2020-02-22,78651,978,-0.018072289,,,2460
2020-02-23,79205,554,-0.433537832,,,2618
2020-02-24,80087,882,0.592057762,,,2699
2020-02-25,80828,741,-0.159863946,,,2763
2020-02-26,81820,992,0.338731444,,,2800
2020-02-27,83112,1292,0.302419355,,,2858
2020-02-28,84615,1503,0.163312693,,,2923
2020-02-29,86604,1989,0.323353293,,,2977
2020-03-01,88585,1981,-0.004022122,,,3050
2020-03-02,90443,1858,-0.062089854,-0.079,2.514,3117
2020-03-03,93016,2573,0.38482239,,,3202
2020-03-04,95314,2298,-0.106879129,,,3285
2020-03-05,98425,3111,0.353785901,,,3387
2020-03-06,102050,3625,0.165220186,,,3493
2020-03-07,106099,4049,0.116965517,,,3598
2020-03-08,109991,3892,-0.038775006,,,3826
2020-03-09,114382,4391,0.128211716,,2.468,4023
2020-03-10,118950,4568,0.040309724,,,4297
2020-03-11,126215,7265,0.590411559,,,4627
2020-03-12,134510,8295,0.141775637,,,4980
2020-03-13,145417,10907,0.314888487,,,5427
2020-03-14,156477,11060,0.014027689,,,5841
2020-03-15,169516,13039,0.178933092,,,6532
2020-03-16,182440,12924,-0.008819695,-0.124,,7180
2020-03-17,198171,15731,0.21719282,,,8000
2020-03-18,218863,20692,0.315364567,,,8983
2020-03-19,245019,26156,0.264063406,,,10077
2020-03-20,275733,30714,0.17426212,,,11457
2020-03-21,305202,29469,-0.040535261,,,13101
2020-03-22,337705,32503,0.102955648,,,14739
2020-03-23,379236,41531,0.277758976,,2.217,16671
2020-03-24,423114,43878,0.056512003,,,19157
2020-03-25,471721,48607,0.107776106,,,21746
2020-03-26,532807,61086,0.256732569,,,24691
2020-03-27,597457,64650,0.058343974,,,28160
2020-03-28,664331,66874,0.034400619,,,31831
2020-03-29,724876,60545,-0.094640668,,,35174
2020-03-30,789130,64254,0.06126022,-0.477,,39334
2020-03-31,863184,74054,0.152519687,,,44043
2020-04-01,940523,77339,0.044359521,,,49233
2020-04-02,1020920,80397,0.039540206,,,55503
2020-04-03,1117272,96352,0.198452679,,,61465
2020-04-04,1202186,84914,-0.118710561,,,67531
2020-04-05,1274854,72668,-0.144216501,,,75235
